account_id,customer_id,account_type,balance,currency,status,opened_date,last_transaction_date
ACC00000001,CUST000284,INVESTMENT,27630.98,JPY,CLOSED,2027-12-14,2026-01-08
ACC00000002,CUST000940,SAVINGS,83008.02,CNY,SUSPENDED,2027-04-03,2026-02-14
ACC00000003,CUST000414,LOAN,67014.02,USD,SUSPENDED,2024-02-14,2026-01-15
ACC00000004,CUST000251,INVESTMENT,9451.50,AUD,PENDING,2028-01-12,2026-02-09
ACC00000005,CUST000950,LOAN,6459.09,JPY,PENDING,2027-07-12,2026-01-30
ACC00000006,CUST000503,INVESTMENT,33902.06,CHF,CLOSED,2026-10-31,2026-01-17
ACC00000007,CUST000118,CREDIT,18676.26,GBP,SUSPENDED,2024-05-17,2025-12-24
ACC00000008,CUST000003,INVESTMENT,93776.39,EUR,PENDING,2027-05-20,2025-12-31
ACC00000009,CUST000248,CHECKING,88234.76,AUD,ACTIVE,2026-04-10,2025-12-30
ACC00000010,CUST000705,INVESTMENT,98548.70,AUD,PENDING,2025-04-14,2026-01-08
ACC00000011,CUST000866,CREDIT,84226.40,CAD,ACTIVE,2025-01-30,2026-01-21
ACC00000012,CUST000085,SAVINGS,40299.78,USD,CLOSED,2024-12-14,2026-01-02
ACC00000013,CUST000412,CREDIT,51551.23,CHF,CLOSED,2027-02-16,2026-01-18
ACC00000014,CUST000657,SAVINGS,43887.39,AUD,CLOSED,2026-12-11,2026-02-14
ACC00000015,CUST000641,CHECKING,41339.00,AUD,CLOSED,2025-07-13,2026-02-19
ACC00000016,CUST000804,SAVINGS,79685.19,CAD,PENDING,2024-07-08,2025-12-24
ACC00000017,CUST000997,CHECKING,57450.03,CHF,SUSPENDED,2024-09-04,2026-01-03
ACC00000018,CUST000371,CREDIT,55190.50,USD,ACTIVE,2026-10-12,2026-01-18
ACC00000019,CUST000916,INVESTMENT,45499.00,USD,CLOSED,2027-05-22,2026-01-02
ACC00000020,CUST000436,INVESTMENT,78586.40,USD,CLOSED,2027-09-05,2025-12-23
ACC00000021,CUST000391,INVESTMENT,58079.17,AUD,CLOSED,2025-09-16,2026-01-08
ACC00000022,CUST000768,CHECKING,64150.57,GBP,ACTIVE,2025-07-20,2026-01-26
ACC00000023,CUST000680,CHECKING,21580.33,CAD,ACTIVE,2024-07-24,2026-02-12
ACC00000024,CUST000175,CHECKING,97848.06,JPY,CLOSED,2024-09-21,2026-01-31
ACC00000025,CUST000684,LOAN,77059.69,CHF,ACTIVE,2026-07-21,2026-01-26
ACC00000026,CUST000306,INVESTMENT,45515.72,GBP,ACTIVE,2027-09-21,2026-01-10
ACC00000027,CUST000336,INVESTMENT,3161.91,CHF,CLOSED,2024-03-10,2026-02-14
ACC00000028,CUST000676,SAVINGS,41506.59,CHF,ACTIVE,2024-09-18,2026-01-24
ACC00000029,CUST000112,CREDIT,90446.20,USD,ACTIVE,2026-12-15,2026-01-09
ACC00000030,CUST000239,INVESTMENT,57770.67,GBP,PENDING,2027-10-07,2026-02-12
