balance_id,account_id,balance_date,opening_balance,closing_balance,currency
BAL0000000001,ACC00000001,2026-01-22,27630.98,28192.17,JPY
BAL0000000002,ACC00000001,2026-01-21,28192.17,27203.57,JPY
BAL0000000003,ACC00000001,2026-01-20,27203.57,26243.45,JPY
BAL0000000004,ACC00000001,2026-01-19,26243.45,25591.65,JPY
BAL0000000005,ACC00000001,2026-01-18,25591.65,26442.56,JPY
BAL0000000006,ACC00000001,2026-01-17,26442.56,25923.93,JPY
BAL0000000007,ACC00000001,2026-01-16,25923.93,25128.40,JPY
BAL0000000008,ACC00000001,2026-01-15,25128.40,25025.60,JPY
BAL0000000009,ACC00000001,2026-01-14,25025.60,24167.13,JPY
BAL0000000010,ACC00000001,2026-01-13,24167.13,24461.26,JPY
BAL0000000011,ACC00000001,2026-01-12,24461.26,24614.98,JPY
BAL0000000012,ACC00000001,2026-01-11,24614.98,24812.55,JPY
BAL0000000013,ACC00000001,2026-01-10,24812.55,25799.50,JPY
BAL0000000014,ACC00000001,2026-01-09,25799.50,25668.81,JPY
BAL0000000015,ACC00000001,2026-01-08,25668.81,25573.80,JPY
BAL0000000016,ACC00000001,2026-01-07,25573.80,25115.63,JPY
BAL0000000017,ACC00000001,2026-01-06,25115.63,24225.18,JPY
BAL0000000018,ACC00000001,2026-01-05,24225.18,23463.37,JPY
BAL0000000019,ACC00000001,2026-01-04,23463.37,24147.02,JPY
BAL0000000020,ACC00000001,2026-01-03,24147.02,23869.13,JPY
BAL0000000021,ACC00000001,2026-01-02,23869.13,24669.00,JPY
BAL0000000022,ACC00000001,2026-01-01,24669.00,23750.15,JPY
BAL0000000023,ACC00000001,2025-12-31,23750.15,23794.39,JPY
BAL0000000024,ACC00000001,2025-12-30,23794.39,23370.90,JPY
BAL0000000025,ACC00000001,2025-12-29,23370.90,23379.21,JPY
BAL0000000026,ACC00000001,2025-12-28,23379.21,24365.22,JPY
BAL0000000027,ACC00000001,2025-12-27,24365.22,23755.62,JPY
BAL0000000028,ACC00000001,2025-12-26,23755.62,23563.47,JPY
BAL0000000029,ACC00000001,2025-12-25,23563.47,23603.78,JPY
BAL0000000030,ACC00000001,2025-12-24,23603.78,22639.05,JPY
BAL0000000031,ACC00000002,2026-01-22,83008.02,83313.44,CNY
BAL0000000032,ACC00000002,2026-01-21,83313.44,83926.65,CNY
BAL0000000033,ACC00000002,2026-01-20,83926.65,82954.39,CNY
BAL0000000034,ACC00000002,2026-01-19,82954.39,82137.28,CNY
BAL0000000035,ACC00000002,2026-01-18,82137.28,82060.98,CNY
BAL0000000036,ACC00000002,2026-01-17,82060.98,81628.29,CNY
BAL0000000037,ACC00000002,2026-01-16,81628.29,81548.14,CNY
BAL0000000038,ACC00000002,2026-01-15,81548.14,81585.49,CNY
BAL0000000039,ACC00000002,2026-01-14,81585.49,81590.61,CNY
BAL0000000040,ACC00000002,2026-01-13,81590.61,82186.64,CNY
BAL0000000041,ACC00000002,2026-01-12,82186.64,81467.76,CNY
BAL0000000042,ACC00000002,2026-01-11,81467.76,82298.07,CNY
BAL0000000043,ACC00000002,2026-01-10,82298.07,81450.35,CNY
BAL0000000044,ACC00000002,2026-01-09,81450.35,81710.38,CNY
BAL0000000045,ACC00000002,2026-01-08,81710.38,82540.44,CNY
BAL0000000046,ACC00000002,2026-01-07,82540.44,82641.88,CNY
BAL0000000047,ACC00000002,2026-01-06,82641.88,82805.77,CNY
BAL0000000048,ACC00000002,2026-01-05,82805.77,83226.84,CNY
BAL0000000049,ACC00000002,2026-01-04,83226.84,84140.21,CNY
BAL0000000050,ACC00000002,2026-01-03,84140.21,83677.84,CNY
BAL0000000051,ACC00000002,2026-01-02,83677.84,84053.03,CNY
BAL0000000052,ACC00000002,2026-01-01,84053.03,83260.18,CNY
BAL0000000053,ACC00000002,2025-12-31,83260.18,84201.16,CNY
BAL0000000054,ACC00000002,2025-12-30,84201.16,83983.40,CNY
BAL0000000055,ACC00000002,2025-12-29,83983.40,84915.72,CNY
BAL0000000056,ACC00000002,2025-12-28,84915.72,85732.24,CNY
BAL0000000057,ACC00000002,2025-12-27,85732.24,86295.78,CNY
BAL0000000058,ACC00000002,2025-12-26,86295.78,86661.30,CNY
BAL0000000059,ACC00000002,2025-12-25,86661.30,87305.20,CNY
BAL0000000060,ACC00000002,2025-12-24,87305.20,87848.66,CNY
BAL0000000061,ACC00000003,2026-01-22,67014.02,66838.63,USD
BAL0000000062,ACC00000003,2026-01-21,66838.63,66698.62,USD
BAL0000000063,ACC00000003,2026-01-20,66698.62,67341.18,USD
