rate_id,from_currency,to_currency,exchange_rate,rate_date,source
FX00000001,USD,EUR,1.054922,2026-01-22,MANUAL
FX00000002,USD,GBP,1.310259,2026-01-22,MANUAL
FX00000003,USD,JPY,0.009074,2026-01-22,CENTRAL_BANK
FX00000004,USD,CAD,0.730619,2026-01-22,MARKET
FX00000005,USD,AUD,0.681856,2026-01-22,CENTRAL_BANK
FX00000006,USD,CHF,1.071491,2026-01-22,CENTRAL_BANK
FX00000007,USD,CNY,0.146504,2026-01-22,MANUAL
FX00000008,USD,EUR,1.062517,2026-01-21,MANUAL
FX00000009,USD,GBP,1.262463,2026-01-21,MARKET
FX00000010,USD,JPY,0.009001,2026-01-21,MANUAL
FX00000011,USD,CAD,0.764171,2026-01-21,MARKET
FX00000012,USD,AUD,0.676272,2026-01-21,MARKET
FX00000013,USD,CHF,1.079842,2026-01-21,MANUAL
FX00000014,USD,CNY,0.135636,2026-01-21,MANUAL
FX00000015,USD,EUR,1.050259,2026-01-20,MARKET
FX00000016,USD,GBP,1.319564,2026-01-20,MANUAL
FX00000017,USD,JPY,0.008683,2026-01-20,MANUAL
FX00000018,USD,CAD,0.770601,2026-01-20,MANUAL
FX00000019,USD,AUD,0.644871,2026-01-20,CENTRAL_BANK
FX00000020,USD,CHF,1.172264,2026-01-20,CENTRAL_BANK
FX00000021,USD,CNY,0.142452,2026-01-20,MANUAL
FX00000022,USD,EUR,1.144339,2026-01-19,CENTRAL_BANK
FX00000023,USD,GBP,1.306264,2026-01-19,MARKET
FX00000024,USD,JPY,0.009250,2026-01-19,MANUAL
FX00000025,USD,CAD,0.734817,2026-01-19,CENTRAL_BANK
FX00000026,USD,AUD,0.653957,2026-01-19,MANUAL
FX00000027,USD,CHF,1.122489,2026-01-19,MANUAL
FX00000028,USD,CNY,0.142159,2026-01-19,MANUAL
FX00000029,USD,EUR,1.063784,2026-01-18,MARKET
FX00000030,USD,GBP,1.231318,2026-01-18,MANUAL
FX00000031,USD,JPY,0.009213,2026-01-18,MARKET
FX00000032,USD,CAD,0.765856,2026-01-18,MANUAL
FX00000033,USD,AUD,0.629776,2026-01-18,CENTRAL_BANK
FX00000034,USD,CHF,1.130730,2026-01-18,CENTRAL_BANK
FX00000035,USD,CNY,0.142677,2026-01-18,CENTRAL_BANK
FX00000036,USD,EUR,1.116240,2026-01-17,MANUAL
FX00000037,USD,GBP,1.283339,2026-01-17,MANUAL
FX00000038,USD,JPY,0.008713,2026-01-17,MARKET
FX00000039,USD,CAD,0.728628,2026-01-17,MARKET
FX00000040,USD,AUD,0.634735,2026-01-17,CENTRAL_BANK
FX00000041,USD,CHF,1.064694,2026-01-17,MARKET
FX00000042,USD,CNY,0.135304,2026-01-17,CENTRAL_BANK
FX00000043,USD,EUR,1.065900,2026-01-16,CENTRAL_BANK
FX00000044,USD,GBP,1.211399,2026-01-16,CENTRAL_BANK
FX00000045,USD,JPY,0.009183,2026-01-16,MARKET
FX00000046,USD,CAD,0.757148,2026-01-16,MARKET
FX00000047,USD,AUD,0.676121,2026-01-16,MARKET
FX00000048,USD,CHF,1.095911,2026-01-16,CENTRAL_BANK
FX00000049,USD,CNY,0.140586,2026-01-16,CENTRAL_BANK
FX00000050,USD,EUR,1.065746,2026-01-15,CENTRAL_BANK
FX00000051,USD,GBP,1.264628,2026-01-15,MANUAL
FX00000052,USD,JPY,0.008843,2026-01-15,CENTRAL_BANK
FX00000053,USD,CAD,0.707583,2026-01-15,CENTRAL_BANK
FX00000054,USD,AUD,0.662373,2026-01-15,CENTRAL_BANK
FX00000055,USD,CHF,1.092029,2026-01-15,MANUAL
FX00000056,USD,CNY,0.136981,2026-01-15,MARKET
FX00000057,USD,EUR,1.083722,2026-01-14,MARKET
FX00000058,USD,GBP,1.245087,2026-01-14,MANUAL
FX00000059,USD,JPY,0.008821,2026-01-14,MANUAL
FX00000060,USD,CAD,0.727026,2026-01-14,MANUAL
FX00000061,USD,AUD,0.679035,2026-01-14,MARKET
FX00000062,USD,CHF,1.162570,2026-01-14,MANUAL
FX00000063,USD,CNY,0.145723,2026-01-14,MARKET
FX00000064,USD,EUR,1.103922,2026-01-13,MARKET
FX00000065,USD,GBP,1.283864,2026-01-13,MARKET
FX00000066,USD,JPY,0.009526,2026-01-13,MARKET
FX00000067,USD,CAD,0.714695,2026-01-13,CENTRAL_BANK
FX00000068,USD,AUD,0.636936,2026-01-13,MANUAL
FX00000069,USD,CHF,1.087281,2026-01-13,MARKET
FX00000070,USD,CNY,0.141749,2026-01-13,MARKET
FX00000071,USD,EUR,1.072551,2026-01-12,MANUAL
FX00000072,USD,GBP,1.307913,2026-01-12,CENTRAL_BANK
FX00000073,USD,JPY,0.008834,2026-01-12,CENTRAL_BANK
FX00000074,USD,CAD,0.761677,2026-01-12,CENTRAL_BANK
FX00000075,USD,AUD,0.643259,2026-01-12,MARKET
FX00000076,USD,CHF,1.105277,2026-01-12,CENTRAL_BANK
FX00000077,USD,CNY,0.138269,2026-01-12,MARKET
FX00000078,USD,EUR,1.049286,2026-01-11,MARKET
FX00000079,USD,GBP,1.271397,2026-01-11,CENTRAL_BANK
FX00000080,USD,JPY,0.009422,2026-01-11,MARKET
FX00000081,USD,CAD,0.748986,2026-01-11,CENTRAL_BANK
FX00000082,USD,AUD,0.634755,2026-01-11,MANUAL
FX00000083,USD,CHF,1.101642,2026-01-11,CENTRAL_BANK
FX00000084,USD,CNY,0.137943,2026-01-11,MARKET
FX00000085,USD,EUR,1.119292,2026-01-10,CENTRAL_BANK
FX00000086,USD,GBP,1.328593,2026-01-10,MARKET
FX00000087,USD,JPY,0.009241,2026-01-10,CENTRAL_BANK
FX00000088,USD,CAD,0.762319,2026-01-10,MANUAL
FX00000089,USD,AUD,0.665025,2026-01-10,MANUAL
FX00000090,USD,CHF,1.140798,2026-01-10,CENTRAL_BANK
FX00000091,USD,CNY,0.143413,2026-01-10,CENTRAL_BANK
FX00000092,USD,EUR,1.070389,2026-01-09,CENTRAL_BANK
FX00000093,USD,GBP,1.239070,2026-01-09,MANUAL
FX00000094,USD,JPY,0.009409,2026-01-09,MANUAL
FX00000095,USD,CAD,0.729249,2026-01-09,CENTRAL_BANK
FX00000096,USD,AUD,0.655965,2026-01-09,MARKET
FX00000097,USD,CHF,1.088927,2026-01-09,CENTRAL_BANK
FX00000098,USD,CNY,0.140855,2026-01-09,CENTRAL_BANK
FX00000099,USD,EUR,1.049744,2026-01-08,CENTRAL_BANK
FX00000100,USD,GBP,1.280080,2026-01-08,CENTRAL_BANK
FX00000101,USD,JPY,0.008879,2026-01-08,MARKET
FX00000102,USD,CAD,0.761471,2026-01-08,CENTRAL_BANK
FX00000103,USD,AUD,0.686664,2026-01-08,MARKET
FX00000104,USD,CHF,1.109983,2026-01-08,CENTRAL_BANK
FX00000105,USD,CNY,0.133362,2026-01-08,MANUAL
FX00000106,USD,EUR,1.123842,2026-01-07,CENTRAL_BANK
FX00000107,USD,GBP,1.328297,2026-01-07,MANUAL
FX00000108,USD,JPY,0.009064,2026-01-07,MARKET
FX00000109,USD,CAD,0.774756,2026-01-07,MANUAL
FX00000110,USD,AUD,0.668957,2026-01-07,MARKET
FX00000111,USD,CHF,1.130484,2026-01-07,CENTRAL_BANK
FX00000112,USD,CNY,0.136916,2026-01-07,MANUAL
FX00000113,USD,EUR,1.132315,2026-01-06,MANUAL
FX00000114,USD,GBP,1.300960,2026-01-06,MANUAL
FX00000115,USD,JPY,0.009472,2026-01-06,MARKET
FX00000116,USD,CAD,0.714268,2026-01-06,CENTRAL_BANK
FX00000117,USD,AUD,0.629660,2026-01-06,MANUAL
FX00000118,USD,CHF,1.151967,2026-01-06,CENTRAL_BANK
FX00000119,USD,CNY,0.145496,2026-01-06,MANUAL
FX00000120,USD,EUR,1.045603,2026-01-05,CENTRAL_BANK
FX00000121,USD,GBP,1.277781,2026-01-05,CENTRAL_BANK
FX00000122,USD,JPY,0.008936,2026-01-05,CENTRAL_BANK
FX00000123,USD,CAD,0.775340,2026-01-05,MARKET
FX00000124,USD,AUD,0.690498,2026-01-05,CENTRAL_BANK
FX00000125,USD,CHF,1.119027,2026-01-05,CENTRAL_BANK
FX00000126,USD,CNY,0.143098,2026-01-05,MARKET
FX00000127,USD,EUR,1.107453,2026-01-04,MARKET
FX00000128,USD,GBP,1.266642,2026-01-04,MANUAL
FX00000129,USD,JPY,0.009345,2026-01-04,MARKET
FX00000130,USD,CAD,0.708634,2026-01-04,MARKET
FX00000131,USD,AUD,0.689506,2026-01-04,CENTRAL_BANK
FX00000132,USD,CHF,1.139697,2026-01-04,MARKET
FX00000133,USD,CNY,0.143745,2026-01-04,MARKET
FX00000134,USD,EUR,1.077323,2026-01-03,CENTRAL_BANK
FX00000135,USD,GBP,1.311022,2026-01-03,MARKET
FX00000136,USD,JPY,0.009266,2026-01-03,CENTRAL_BANK
FX00000137,USD,CAD,0.724683,2026-01-03,CENTRAL_BANK
FX00000138,USD,AUD,0.661613,2026-01-03,CENTRAL_BANK
FX00000139,USD,CHF,1.112141,2026-01-03,MANUAL
FX00000140,USD,CNY,0.142519,2026-01-03,MANUAL
FX00000141,USD,EUR,1.117982,2026-01-02,MARKET
FX00000142,USD,GBP,1.297723,2026-01-02,MARKET
FX00000143,USD,JPY,0.009520,2026-01-02,MARKET
FX00000144,USD,CAD,0.719957,2026-01-02,MARKET
FX00000145,USD,AUD,0.664542,2026-01-02,CENTRAL_BANK
FX00000146,USD,CHF,1.073314,2026-01-02,CENTRAL_BANK
FX00000147,USD,CNY,0.137865,2026-01-02,CENTRAL_BANK
FX00000148,USD,EUR,1.141792,2026-01-01,MANUAL
FX00000149,USD,GBP,1.329600,2026-01-01,CENTRAL_BANK
FX00000150,USD,JPY,0.009249,2026-01-01,MARKET
FX00000151,USD,CAD,0.758245,2026-01-01,MANUAL
FX00000152,USD,AUD,0.654854,2026-01-01,MANUAL
FX00000153,USD,CHF,1.078336,2026-01-01,CENTRAL_BANK
FX00000154,USD,CNY,0.138753,2026-01-01,MANUAL
FX00000155,USD,EUR,1.054731,2025-12-31,MARKET
FX00000156,USD,GBP,1.299806,2025-12-31,MANUAL
FX00000157,USD,JPY,0.008784,2025-12-31,CENTRAL_BANK
FX00000158,USD,CAD,0.761003,2025-12-31,MARKET
FX00000159,USD,AUD,0.679117,2025-12-31,MARKET
FX00000160,USD,CHF,1.088534,2025-12-31,MARKET
FX00000161,USD,CNY,0.135649,2025-12-31,MARKET
FX00000162,USD,EUR,1.088768,2025-12-30,MANUAL
FX00000163,USD,GBP,1.232157,2025-12-30,MARKET
FX00000164,USD,JPY,0.009196,2025-12-30,CENTRAL_BANK
FX00000165,USD,CAD,0.746828,2025-12-30,MARKET
FX00000166,USD,AUD,0.665833,2025-12-30,MARKET
FX00000167,USD,CHF,1.174317,2025-12-30,CENTRAL_BANK
FX00000168,USD,CNY,0.136390,2025-12-30,MANUAL
FX00000169,USD,EUR,1.084897,2025-12-29,MARKET
FX00000170,USD,GBP,1.275029,2025-12-29,MANUAL
FX00000171,USD,JPY,0.009139,2025-12-29,MARKET
FX00000172,USD,CAD,0.717326,2025-12-29,CENTRAL_BANK
FX00000173,USD,AUD,0.673169,2025-12-29,MANUAL
FX00000174,USD,CHF,1.079056,2025-12-29,MANUAL
FX00000175,USD,CNY,0.141868,2025-12-29,CENTRAL_BANK
FX00000176,USD,EUR,1.047494,2025-12-28,MANUAL
FX00000177,USD,GBP,1.240256,2025-12-28,CENTRAL_BANK
FX00000178,USD,JPY,0.008795,2025-12-28,MANUAL
FX00000179,USD,CAD,0.772263,2025-12-28,MARKET
FX00000180,USD,AUD,0.674948,2025-12-28,MANUAL
FX00000181,USD,CHF,1.100637,2025-12-28,CENTRAL_BANK
FX00000182,USD,CNY,0.133782,2025-12-28,MARKET
FX00000183,USD,EUR,1.076674,2025-12-27,MANUAL
FX00000184,USD,GBP,1.232998,2025-12-27,MARKET
FX00000185,USD,JPY,0.009205,2025-12-27,MANUAL
FX00000186,USD,CAD,0.757478,2025-12-27,MARKET
FX00000187,USD,AUD,0.666875,2025-12-27,MARKET
FX00000188,USD,CHF,1.090116,2025-12-27,MARKET
FX00000189,USD,CNY,0.145879,2025-12-27,MANUAL
FX00000190,USD,EUR,1.047344,2025-12-26,MARKET
FX00000191,USD,GBP,1.284592,2025-12-26,MARKET
FX00000192,USD,JPY,0.009503,2025-12-26,MANUAL
FX00000193,USD,CAD,0.713956,2025-12-26,MARKET
FX00000194,USD,AUD,0.654681,2025-12-26,CENTRAL_BANK
FX00000195,USD,CHF,1.076432,2025-12-26,CENTRAL_BANK
FX00000196,USD,CNY,0.146794,2025-12-26,CENTRAL_BANK
FX00000197,USD,EUR,1.133437,2025-12-25,CENTRAL_BANK
FX00000198,USD,GBP,1.261501,2025-12-25,MANUAL
FX00000199,USD,JPY,0.009417,2025-12-25,CENTRAL_BANK
FX00000200,USD,CAD,0.758666,2025-12-25,MARKET
FX00000201,USD,AUD,0.676214,2025-12-25,CENTRAL_BANK
FX00000202,USD,CHF,1.114683,2025-12-25,MANUAL
FX00000203,USD,CNY,0.144121,2025-12-25,MANUAL
FX00000204,USD,EUR,1.101814,2025-12-24,MANUAL
FX00000205,USD,GBP,1.331289,2025-12-24,MANUAL
FX00000206,USD,JPY,0.009128,2025-12-24,CENTRAL_BANK
FX00000207,USD,CAD,0.730012,2025-12-24,MANUAL
FX00000208,USD,AUD,0.669627,2025-12-24,CENTRAL_BANK
FX00000209,USD,CHF,1.082790,2025-12-24,MANUAL
FX00000210,USD,CNY,0.143317,2025-12-24,CENTRAL_BANK
FX00000211,USD,EUR,1.131649,2025-12-23,MARKET
FX00000212,USD,GBP,1.313272,2025-12-23,MARKET
FX00000213,USD,JPY,0.009274,2025-12-23,MANUAL
FX00000214,USD,CAD,0.708424,2025-12-23,CENTRAL_BANK
FX00000215,USD,AUD,0.670828,2025-12-23,MANUAL
FX00000216,USD,CHF,1.068382,2025-12-23,MARKET
FX00000217,USD,CNY,0.142682,2025-12-23,MANUAL
FX00000218,USD,EUR,1.116252,2025-12-22,MANUAL
FX00000219,USD,GBP,1.285339,2025-12-22,CENTRAL_BANK
FX00000220,USD,JPY,0.009203,2025-12-22,MANUAL
FX00000221,USD,CAD,0.761141,2025-12-22,MANUAL
FX00000222,USD,AUD,0.662738,2025-12-22,MANUAL
FX00000223,USD,CHF,1.125570,2025-12-22,MANUAL
FX00000224,USD,CNY,0.139095,2025-12-22,MARKET
FX00000225,USD,EUR,1.047300,2025-12-21,MANUAL
FX00000226,USD,GBP,1.216689,2025-12-21,MANUAL
FX00000227,USD,JPY,0.009319,2025-12-21,MANUAL
FX00000228,USD,CAD,0.726911,2025-12-21,CENTRAL_BANK
FX00000229,USD,AUD,0.665027,2025-12-21,MANUAL
FX00000230,USD,CHF,1.160987,2025-12-21,CENTRAL_BANK
FX00000231,USD,CNY,0.145532,2025-12-21,CENTRAL_BANK
FX00000232,USD,EUR,1.111422,2025-12-20,MANUAL
FX00000233,USD,GBP,1.280589,2025-12-20,MARKET
FX00000234,USD,JPY,0.008730,2025-12-20,MANUAL
FX00000235,USD,CAD,0.769168,2025-12-20,CENTRAL_BANK
FX00000236,USD,AUD,0.642181,2025-12-20,MARKET
FX00000237,USD,CHF,1.158324,2025-12-20,MARKET
FX00000238,USD,CNY,0.144490,2025-12-20,MARKET
FX00000239,USD,EUR,1.117591,2025-12-19,MARKET
FX00000240,USD,GBP,1.324179,2025-12-19,MANUAL
FX00000241,USD,JPY,0.008969,2025-12-19,MARKET
FX00000242,USD,CAD,0.739460,2025-12-19,MARKET
FX00000243,USD,AUD,0.632879,2025-12-19,MARKET
FX00000244,USD,CHF,1.166914,2025-12-19,MANUAL
FX00000245,USD,CNY,0.139311,2025-12-19,MANUAL
FX00000246,USD,EUR,1.148810,2025-12-18,MANUAL
FX00000247,USD,GBP,1.330370,2025-12-18,MANUAL
FX00000248,USD,JPY,0.009176,2025-12-18,CENTRAL_BANK
FX00000249,USD,CAD,0.727305,2025-12-18,CENTRAL_BANK
FX00000250,USD,AUD,0.692894,2025-12-18,MANUAL
FX00000251,USD,CHF,1.157113,2025-12-18,MANUAL
FX00000252,USD,CNY,0.142734,2025-12-18,MANUAL
FX00000253,USD,EUR,1.059144,2025-12-17,CENTRAL_BANK
FX00000254,USD,GBP,1.296284,2025-12-17,MANUAL
FX00000255,USD,JPY,0.009232,2025-12-17,MANUAL
FX00000256,USD,CAD,0.709358,2025-12-17,CENTRAL_BANK
FX00000257,USD,AUD,0.676730,2025-12-17,MARKET
FX00000258,USD,CHF,1.103503,2025-12-17,MANUAL
FX00000259,USD,CNY,0.134502,2025-12-17,CENTRAL_BANK
FX00000260,USD,EUR,1.050566,2025-12-16,CENTRAL_BANK
FX00000261,USD,GBP,1.223279,2025-12-16,MARKET
FX00000262,USD,JPY,0.009402,2025-12-16,MANUAL
FX00000263,USD,CAD,0.711928,2025-12-16,CENTRAL_BANK
FX00000264,USD,AUD,0.662066,2025-12-16,CENTRAL_BANK
FX00000265,USD,CHF,1.129614,2025-12-16,CENTRAL_BANK
FX00000266,USD,CNY,0.145672,2025-12-16,MANUAL
FX00000267,USD,EUR,1.050741,2025-12-15,MANUAL
FX00000268,USD,GBP,1.252800,2025-12-15,MANUAL
FX00000269,USD,JPY,0.008773,2025-12-15,MARKET
FX00000270,USD,CAD,0.772095,2025-12-15,MANUAL
FX00000271,USD,AUD,0.672719,2025-12-15,MARKET
FX00000272,USD,CHF,1.142147,2025-12-15,CENTRAL_BANK
FX00000273,USD,CNY,0.145450,2025-12-15,MARKET
FX00000274,USD,EUR,1.128664,2025-12-14,MANUAL
FX00000275,USD,GBP,1.324628,2025-12-14,CENTRAL_BANK
FX00000276,USD,JPY,0.008915,2025-12-14,MANUAL
FX00000277,USD,CAD,0.753287,2025-12-14,CENTRAL_BANK
FX00000278,USD,AUD,0.669778,2025-12-14,MANUAL
FX00000279,USD,CHF,1.171613,2025-12-14,CENTRAL_BANK
FX00000280,USD,CNY,0.143048,2025-12-14,MANUAL
FX00000281,USD,EUR,1.100748,2025-12-13,MANUAL
FX00000282,USD,GBP,1.305607,2025-12-13,MARKET
FX00000283,USD,JPY,0.008656,2025-12-13,CENTRAL_BANK
FX00000284,USD,CAD,0.729602,2025-12-13,MARKET
FX00000285,USD,AUD,0.663620,2025-12-13,CENTRAL_BANK
FX00000286,USD,CHF,1.119220,2025-12-13,MANUAL
FX00000287,USD,CNY,0.137402,2025-12-13,MARKET
FX00000288,USD,EUR,1.062465,2025-12-12,MANUAL
FX00000289,USD,GBP,1.323194,2025-12-12,CENTRAL_BANK
FX00000290,USD,JPY,0.009200,2025-12-12,CENTRAL_BANK
FX00000291,USD,CAD,0.773421,2025-12-12,MANUAL
FX00000292,USD,AUD,0.669408,2025-12-12,CENTRAL_BANK
FX00000293,USD,CHF,1.095757,2025-12-12,MANUAL
FX00000294,USD,CNY,0.138362,2025-12-12,MANUAL
FX00000295,USD,EUR,1.151819,2025-12-11,CENTRAL_BANK
FX00000296,USD,GBP,1.314470,2025-12-11,MARKET
FX00000297,USD,JPY,0.009122,2025-12-11,MARKET
FX00000298,USD,CAD,0.763302,2025-12-11,CENTRAL_BANK
FX00000299,USD,AUD,0.648549,2025-12-11,MANUAL
FX00000300,USD,CHF,1.076200,2025-12-11,MARKET
FX00000301,USD,CNY,0.143210,2025-12-11,CENTRAL_BANK
FX00000302,USD,EUR,1.118112,2025-12-10,CENTRAL_BANK
FX00000303,USD,GBP,1.217489,2025-12-10,MANUAL
FX00000304,USD,JPY,0.009017,2025-12-10,MARKET
