transaction_id,account_id,transaction_type,amount,currency,transaction_date,description,status
TXN0000000001,ACC00000294,DEPOSIT,9069.91,CNY,2026-02-01,PAYMENT - Branch,COMPLETED
TXN0000000002,ACC00000506,INTEREST,-2609.85,USD,2026-04-22,TRANSFER - ATM,COMPLETED
TXN0000000003,ACC00000760,INTEREST,-9159.80,JPY,2025-11-24,FEE - Branch,FAILED
TXN0000000004,ACC00000177,TRANSFER,-1448.80,CHF,2026-04-05,DEPOSIT - Branch,FAILED
TXN0000000005,ACC00000175,FEE,-3192.58,CNY,2025-10-31,INTEREST - Online,FAILED
TXN0000000006,ACC00001454,INTEREST,8019.01,CHF,2026-01-27,INTEREST - Mobile,REVERSED
TXN0000000007,ACC00000419,TRANSFER,-2847.31,AUD,2026-01-19,DEPOSIT - ATM,COMPLETED
TXN0000000008,ACC00001325,PAYMENT,-4626.92,JPY,2026-04-12,PAYMENT - Branch,COMPLETED
TXN0000000009,ACC00001291,PAYMENT,9171.05,EUR,2025-11-10,INTEREST - ATM,FAILED
TXN0000000010,ACC00001486,DEPOSIT,-5871.34,GBP,2025-11-18,FEE - ATM,PENDING
TXN0000000011,ACC00000393,TRANSFER,8676.38,CHF,2026-03-31,PAYMENT - Online,FAILED
TXN0000000012,ACC00000608,TRANSFER,-2610.77,AUD,2025-11-03,PAYMENT - Mobile,COMPLETED
TXN0000000013,ACC00001046,DEPOSIT,137.06,JPY,2026-01-30,DEPOSIT - Online,FAILED
TXN0000000014,ACC00001240,TRANSFER,5685.62,EUR,2026-01-23,FEE - Mobile,FAILED
TXN0000000015,ACC00001410,TRANSFER,-461.30,CAD,2025-12-13,INTEREST - Branch,REVERSED
TXN0000000016,ACC00000095,DEPOSIT,-4231.10,GBP,2026-04-02,FEE - Online,REVERSED
TXN0000000017,ACC00000155,TRANSFER,2263.63,GBP,2025-12-03,PAYMENT - Online,COMPLETED
TXN0000000018,ACC00001234,WITHDRAWAL,3289.59,AUD,2026-02-05,DEPOSIT - Branch,COMPLETED
TXN0000000019,ACC00001303,FEE,-9686.93,USD,2026-03-24,TRANSFER - ATM,PENDING
TXN0000000020,ACC00000268,TRANSFER,-7853.93,CAD,2025-11-10,INTEREST - Online,PENDING
TXN0000000021,ACC00001113,WITHDRAWAL,8567.75,GBP,2025-11-18,WITHDRAWAL - Online,COMPLETED
TXN0000000022,ACC00000372,WITHDRAWAL,1205.24,GBP,2025-12-17,PAYMENT - Mobile,COMPLETED
TXN0000000023,ACC00000470,TRANSFER,-7567.42,GBP,2025-10-29,INTEREST - Online,REVERSED
TXN0000000024,ACC00000406,WITHDRAWAL,-6919.91,JPY,2026-01-17,DEPOSIT - ATM,PENDING
TXN0000000025,ACC00001383,DEPOSIT,5029.51,USD,2026-04-14,DEPOSIT - Branch,REVERSED
TXN0000000026,ACC00001206,FEE,-2156.91,CHF,2026-04-22,DEPOSIT - ATM,COMPLETED
TXN0000000027,ACC00000631,INTEREST,5900.00,CNY,2026-03-17,TRANSFER - Mobile,FAILED
TXN0000000028,ACC00000763,DEPOSIT,-4482.94,GBP,2026-02-18,TRANSFER - ATM,PENDING
TXN0000000029,ACC00000950,INTEREST,6631.31,JPY,2025-11-14,WITHDRAWAL - Online,FAILED
TXN0000000030,ACC00001199,DEPOSIT,3150.04,USD,2026-02-15,DEPOSIT - ATM,REVERSED
TXN0000000031,ACC00000127,TRANSFER,7932.19,AUD,2025-12-17,WITHDRAWAL - Mobile,REVERSED
TXN0000000032,ACC00001255,FEE,1999.44,EUR,2026-03-20,TRANSFER - Online,PENDING
TXN0000000033,ACC00000281,DEPOSIT,-2905.49,AUD,2025-11-04,PAYMENT - Mobile,FAILED
TXN0000000034,ACC00000835,FEE,3193.89,GBP,2026-02-04,FEE - ATM,COMPLETED
TXN0000000035,ACC00000605,DEPOSIT,6553.26,JPY,2026-01-22,WITHDRAWAL - Mobile,REVERSED
TXN0000000036,ACC00001342,FEE,-2201.03,CHF,2026-01-13,TRANSFER - ATM,REVERSED
TXN0000000037,ACC00000749,PAYMENT,-2329.35,AUD,2026-04-11,PAYMENT - ATM,FAILED
TXN0000000038,ACC00000874,PAYMENT,-6485.62,CNY,2025-11-15,PAYMENT - ATM,PENDING
