account_id,customer_id,account_type,balance,currency,status,opened_date,last_transaction_date
ACC00000001,CUST000793,CREDIT,76343.55,CHF,CLOSED,2027-05-26,2026-01-04
ACC00000002,CUST000136,CREDIT,74598.99,AUD,CLOSED,2026-04-11,2026-02-04
ACC00000003,CUST000284,CHECKING,12164.22,CNY,CLOSED,2024-05-26,2026-02-04
ACC00000004,CUST000581,INVESTMENT,35924.60,GBP,PENDING,2024-12-19,2026-02-07
ACC00000005,CUST000854,CHECKING,19051.24,CHF,ACTIVE,2025-02-21,2026-01-26
ACC00000006,CUST000397,CHECKING,65943.00,CHF,ACTIVE,2024-07-19,2026-02-07
ACC00000007,CUST000915,CREDIT,68254.54,CNY,SUSPENDED,2025-10-30,2026-01-23
ACC00000008,CUST000400,CREDIT,91821.71,USD,CLOSED,2024-04-17,2026-02-08
ACC00000009,CUST000630,CHECKING,70178.25,CHF,CLOSED,2025-12-10,2026-01-14
ACC00000010,CUST000126,CHECKING,81691.13,EUR,PENDING,2026-07-06,2025-12-28
ACC00000011,CUST000535,SAVINGS,49575.14,CNY,CLOSED,2027-10-19,2026-01-16
ACC00000012,CUST000144,CHECKING,27287.13,CAD,ACTIVE,2026-02-26,2026-01-12
ACC00000013,CUST000878,SAVINGS,93265.71,CHF,ACTIVE,2024-12-17,2026-01-12
ACC00000014,CUST000280,CREDIT,26917.63,CHF,SUSPENDED,2027-04-16,2026-01-08
ACC00000015,CUST000003,SAVINGS,65129.49,AUD,PENDING,2024-12-24,2025-12-31
ACC00000016,CUST000970,LOAN,5784.39,AUD,PENDING,2025-05-20,2026-01-13
ACC00000017,CUST000438,LOAN,14595.19,EUR,ACTIVE,2024-04-15,2026-01-21
ACC00000018,CUST000389,CHECKING,43540.44,AUD,SUSPENDED,2024-02-16,2026-01-05
ACC00000019,CUST000377,SAVINGS,29570.23,JPY,CLOSED,2024-07-15,2025-12-29
ACC00000020,CUST000754,SAVINGS,4928.46,CNY,CLOSED,2026-06-08,2026-01-25
ACC00000021,CUST000570,LOAN,13745.19,CNY,PENDING,2024-08-14,2026-01-18
ACC00000022,CUST000362,CREDIT,13697.07,AUD,ACTIVE,2027-07-22,2026-01-18
ACC00000023,CUST000806,LOAN,40986.02,EUR,PENDING,2027-10-03,2026-01-03
ACC00000024,CUST000832,CHECKING,77775.01,USD,CLOSED,2026-10-18,2026-01-29
ACC00000025,CUST000540,LOAN,15428.76,GBP,CLOSED,2026-10-19,2026-02-10
ACC00000026,CUST000095,CREDIT,89918.21,CNY,PENDING,2025-09-20,2026-01-14
ACC00000027,CUST000598,INVESTMENT,15845.40,EUR,CLOSED,2027-07-06,2026-01-31
ACC00000028,CUST000809,LOAN,94682.47,AUD,ACTIVE,2024-05-08,2026-01-08
ACC00000029,CUST000741,LOAN,91056.64,GBP,PENDING,2027-05-21,2026-01-31
ACC00000030,CUST000411,LOAN,11539.50,JPY,SUSPENDED,2026-09-02,2026-01-17
ACC00000031,CUST000034,INVESTMENT,95649.93,CNY,PENDING,2025-09-28,2026-01-30
ACC00000032,CUST000623,CHECKING,91556.94,GBP,PENDING,2027-09-11,2026-01-20
ACC00000033,CUST000591,CREDIT,68349.23,CHF,CLOSED,2027-09-21,2026-01-20
ACC00000034,CUST000858,LOAN,74146.37,USD,CLOSED,2026-11-11,2026-02-07
ACC00000035,CUST000176,INVESTMENT,21915.56,JPY,SUSPENDED,2024-10-05,2026-01-16
ACC00000036,CUST000174,LOAN,6992.40,USD,CLOSED,2027-09-06,2026-02-07
ACC00000037,CUST000297,LOAN,7111.95,CNY,PENDING,2024-11-29,2026-02-21
ACC00000038,CUST000694,SAVINGS,32968.76,USD,CLOSED,2026-01-18,2026-02-17
ACC00000039,CUST000086,INVESTMENT,70516.61,CNY,PENDING,2026-03-03,2025-12-26
ACC00000040,CUST000063,SAVINGS,24328.26,USD,ACTIVE,2024-09-06,2026-02-16
ACC00000041,CUST000820,CHECKING,85033.34,AUD,PENDING,2027-07-22,2025-12-25
ACC00000042,CUST000718,CREDIT,70150.02,CNY,ACTIVE,2027-04-16,2026-01-28
ACC00000043,CUST000290,CHECKING,11476.74,JPY,SUSPENDED,2024-02-11,2026-02-10
ACC00000044,CUST000481,CHECKING,42868.43,AUD,PENDING,2026-07-02,2026-02-20
ACC00000045,CUST000230,SAVINGS,22605.29,GBP,CLOSED,2024-11-13,2026-02-16
ACC00000046,CUST000005,LOAN,12359.77,GBP,SUSPENDED,2025-05-27,2026-02-13
ACC00000047,CUST000968,CHECKING,20062.00,EUR,PENDING,2025-06-27,2025-12-30
ACC00000048,CUST000623,CREDIT,11683.01,CNY,CLOSED,2027-05-28,2025-12-26
