balance_id,account_id,balance_date,opening_balance,closing_balance,currency
BAL0000000001,ACC00000001,2026-01-22,76343.55,76070.58,CHF
BAL0000000002,ACC00000001,2026-01-21,76070.58,75155.69,CHF
BAL0000000003,ACC00000001,2026-01-20,75155.69,75790.38,CHF
BAL0000000004,ACC00000001,2026-01-19,75790.38,76185.75,CHF
BAL0000000005,ACC00000001,2026-01-18,76185.75,76380.75,CHF
BAL0000000006,ACC00000001,2026-01-17,76380.75,76350.31,CHF
BAL0000000007,ACC00000001,2026-01-16,76350.31,77347.08,CHF
BAL0000000008,ACC00000001,2026-01-15,77347.08,78283.27,CHF
BAL0000000009,ACC00000001,2026-01-14,78283.27,78678.04,CHF
BAL0000000010,ACC00000001,2026-01-13,78678.04,79299.78,CHF
BAL0000000011,ACC00000001,2026-01-12,79299.78,79030.17,CHF
BAL0000000012,ACC00000001,2026-01-11,79030.17,78366.17,CHF
BAL0000000013,ACC00000001,2026-01-10,78366.17,79097.06,CHF
BAL0000000014,ACC00000001,2026-01-09,79097.06,79804.46,CHF
BAL0000000015,ACC00000001,2026-01-08,79804.46,79286.59,CHF
BAL0000000016,ACC00000001,2026-01-07,79286.59,78549.02,CHF
BAL0000000017,ACC00000001,2026-01-06,78549.02,78565.39,CHF
BAL0000000018,ACC00000001,2026-01-05,78565.39,78717.99,CHF
BAL0000000019,ACC00000001,2026-01-04,78717.99,78950.17,CHF
BAL0000000020,ACC00000001,2026-01-03,78950.17,77990.60,CHF
BAL0000000021,ACC00000001,2026-01-02,77990.60,78345.09,CHF
BAL0000000022,ACC00000001,2026-01-01,78345.09,79251.00,CHF
BAL0000000023,ACC00000001,2025-12-31,79251.00,78666.00,CHF
BAL0000000024,ACC00000001,2025-12-30,78666.00,78960.26,CHF
BAL0000000025,ACC00000001,2025-12-29,78960.26,78750.30,CHF
BAL0000000026,ACC00000001,2025-12-28,78750.30,78664.68,CHF
BAL0000000027,ACC00000001,2025-12-27,78664.68,77666.73,CHF
BAL0000000028,ACC00000001,2025-12-26,77666.73,78369.22,CHF
BAL0000000029,ACC00000001,2025-12-25,78369.22,77863.59,CHF
BAL0000000030,ACC00000001,2025-12-24,77863.59,77535.81,CHF
BAL0000000031,ACC00000002,2026-01-22,74598.99,74630.11,AUD
