transaction_id,account_id,transaction_type,amount,currency,transaction_date,description,status
TXN0000000001,ACC00000175,TRANSFER,3729.45,USD,2026-01-23,PAYMENT - Branch,REVERSED
TXN0000000002,ACC00001152,TRANSFER,433.79,CAD,2025-11-14,INTEREST - ATM,COMPLETED
TXN0000000003,ACC00000711,DEPOSIT,1909.85,USD,2026-03-17,DEPOSIT - Online,FAILED
TXN0000000004,ACC00000410,FEE,-5869.40,CAD,2026-02-21,INTEREST - Mobile,REVERSED
TXN0000000005,ACC00000778,WITHDRAWAL,-3263.02,CNY,2026-04-13,WITHDRAWAL - Mobile,FAILED
TXN0000000006,ACC00001279,DEPOSIT,2370.40,CAD,2026-02-15,FEE - Mobile,PENDING
TXN0000000007,ACC00001173,INTEREST,-8441.25,JPY,2025-11-26,PAYMENT - Mobile,FAILED
TXN0000000008,ACC00001005,WITHDRAWAL,-2815.22,GBP,2025-12-23,WITHDRAWAL - Online,FAILED
TXN0000000009,ACC00001101,WITHDRAWAL,663.81,JPY,2025-12-22,TRANSFER - Branch,COMPLETED
TXN0000000010,ACC00000908,FEE,6534.16,AUD,2026-02-10,PAYMENT - Mobile,REVERSED
TXN0000000011,ACC00001391,PAYMENT,-6452.31,CNY,2026-03-02,TRANSFER - Online,PENDING
TXN0000000012,ACC00000413,WITHDRAWAL,-2973.05,EUR,2026-01-04,PAYMENT - Mobile,REVERSED
TXN0000000013,ACC00001439,TRANSFER,5311.58,CAD,2025-11-04,INTEREST - Branch,FAILED
TXN0000000014,ACC00000879,PAYMENT,-3116.34,CHF,2026-01-17,TRANSFER - Branch,COMPLETED
TXN0000000015,ACC00000748,TRANSFER,-9222.17,CHF,2026-01-20,FEE - ATM,PENDING
TXN0000000016,ACC00001152,DEPOSIT,-1109.96,CAD,2026-03-22,TRANSFER - ATM,REVERSED
TXN0000000017,ACC00000374,FEE,-5043.06,CAD,2026-02-13,TRANSFER - ATM,REVERSED
TXN0000000018,ACC00000101,DEPOSIT,-2666.74,CAD,2026-04-01,INTEREST - ATM,PENDING
TXN0000000019,ACC00001201,WITHDRAWAL,-4472.19,CNY,2025-11-12,DEPOSIT - Mobile,PENDING
TXN0000000020,ACC00001376,WITHDRAWAL,-5757.42,USD,2025-10-24,WITHDRAWAL - Online,PENDING
TXN0000000021,ACC00000908,WITHDRAWAL,1206.25,AUD,2026-03-01,TRANSFER - Mobile,REVERSED
TXN0000000022,ACC00000528,FEE,4621.08,CHF,2025-12-09,WITHDRAWAL - Mobile,COMPLETED
TXN0000000023,ACC00000329,INTEREST,-7991.02,EUR,2026-01-22,PAYMENT - Online,PENDING
TXN0000000024,ACC00001194,TRANSFER,4529.14,AUD,2026-03-24,DEPOSIT - Branch,FAILED
TXN0000000025,ACC00000815,TRANSFER,-8327.24,EUR,2025-12-02,TRANSFER - Mobile,FAILED
TXN0000000026,ACC00000674,INTEREST,6105.33,CNY,2026-02-04,DEPOSIT - Branch,PENDING
TXN0000000027,ACC00001240,TRANSFER,7500.74,CNY,2026-01-04,PAYMENT - Online,COMPLETED
TXN0000000028,ACC00001158,WITHDRAWAL,6559.21,EUR,2025-12-30,INTEREST - Online,FAILED
TXN0000000029,ACC00001122,TRANSFER,-9020.15,JPY,2025-12-06,DEPOSIT - Branch,PENDING
TXN0000000030,ACC00000226,WITHDRAWAL,1348.77,CNY,2026-01-31,INTEREST - ATM,PENDING
TXN0000000031,ACC00000799,PAYMENT,5217.26,AUD,2026-01-27,INTEREST - Online,FAILED
TXN0000000032,ACC00000758,PAYMENT,-5666.08,JPY,2026-04-16,PAYMENT - Mobile,COMPLETED
TXN0000000033,ACC00000299,INTEREST,2033.36,GBP,2026-01-13,TRANSFER - Branch,REVERSED
TXN0000000034,ACC00001474,FEE,-5330.95,EUR,2026-04-18,INTEREST - Mobile,FAILED
TXN0000000035,ACC00001424,WITHDRAWAL,8921.63,CNY,2026-02-04,PAYMENT - Branch,REVERSED
TXN0000000036,ACC00000998,PAYMENT,-823.32,USD,2025-12-13,FEE - Online,COMPLETED
TXN0000000037,ACC00001229,DEPOSIT,4666.72,USD,2025-11-23,TRANSFER - Mobile,REVERSED
