account_id,customer_id,account_type,balance,currency,status,opened_date,last_transaction_date
ACC00000001,CUST000360,CHECKING,3479.63,AUD,SUSPENDED,2027-12-07,2026-01-27
ACC00000002,CUST000728,SAVINGS,84586.32,CNY,CLOSED,2027-06-04,2026-02-02
ACC00000003,CUST000496,LOAN,40070.24,JPY,ACTIVE,2027-01-18,2026-02-04
ACC00000004,CUST000674,SAVINGS,34871.69,USD,SUSPENDED,2025-09-25,2026-01-07
ACC00000005,CUST000221,SAVINGS,9538.64,EUR,SUSPENDED,2024-02-28,2026-02-14
ACC00000006,CUST000994,INVESTMENT,16086.46,GBP,PENDING,2026-09-14,2025-12-28
ACC00000007,CUST000690,INVESTMENT,12260.94,USD,SUSPENDED,2025-09-02,2026-01-10
ACC00000008,CUST000901,LOAN,69578.68,CAD,CLOSED,2027-09-20,2026-01-15
ACC00000009,CUST000323,LOAN,88281.42,JPY,SUSPENDED,2027-05-29,2026-01-11
ACC00000010,CUST000152,CHECKING,31773.48,USD,PENDING,2024-06-16,2026-01-24
ACC00000011,CUST000005,CREDIT,38148.28,CAD,PENDING,2024-06-27,2026-02-13
ACC00000012,CUST000405,CHECKING,63237.55,EUR,PENDING,2024-12-28,2026-02-19
,CUST000273,SAVINGS,62131.49,CNY,ACTIVE,2027-05-24,2026-01-04
ACC00000014,CUST000703,SAVINGS,3734.87,EUR,SUSPENDED,2025-04-08,2026-01-15
ACC00000015,CUST000928,INVESTMENT,27316.25,CNY,CLOSED,2024-04-29,2026-01-13
ACC00000016,CUST000784,SAVINGS,81436.19,JPY,ACTIVE,2027-07-18,2026-02-02
ACC00000017,CUST000845,LOAN,41730.14,GBP,PENDING,2027-03-18,2026-01-07
ACC00000018,CUST000773,SAVINGS,77578.17,AUD,CLOSED,2025-04-19,2025-12-24
ACC00000019,CUST000464,CREDIT,53533.05,CAD,ACTIVE,2025-12-17,2026-01-01
ACC00000020,CUST000795,CREDIT,86749.12,CAD,SUSPENDED,2026-08-06,2026-01-20
ACC00000021,CUST000471,LOAN,94783.85,USD,CLOSED,2026-11-10,2026-01-07
ACC00000022,CUST000584,SAVINGS,55504.65,CNY,SUSPENDED,2026-09-17,2026-02-08
ACC00000023,CUST978795,CREDIT,19561.72,CAD,SUSPENDED,2026-10-13,2026-01-15
ACC00000024,CUST000259,CHECKING,42147.81,USD,ACTIVE,2027-09-06,2025-12-26
ACC00000025,CUST000903,INVESTMENT,58578.20,USD,ACTIVE,2024-06-21,2026-01-16
ACC00000026,CUST000749,CHECKING,8767.15,EUR,PENDING,2025-12-14,2026-02-11
ACC00000027,CUST000953,SAVINGS,29667.64,GBP,ACTIVE,2025-04-18,2025-12-31
ACC00000028,CUST000780,INVESTMENT,1054.57,CHF,CLOSED,2027-07-19,2026-02-12
ACC00000029,CUST000731,CREDIT,81417.23,CNY,CLOSED,2024-07-14,2026-01-12
ACC00000030,CUST000936,CHECKING,46616.83,EUR,PENDING,2024-05-31,2026-02-04
ACC00000031,CUST000899,INVESTMENT,19712.41,CHF,PENDING,2027-12-24,2026-02-10
ACC00000032,CUST000723,CREDIT,6402.19,JPY,ACTIVE,2025-06-24,2026-01-12
ACC00000033,CUST000686,CREDIT,47477.63,CAD,CLOSED,2027-03-02,2026-01-29
ACC00000034,CUST000659,SAVINGS,34281.27,CHF,SUSPENDED,2028-01-03,2026-01-02
ACC00000035,CUST000213,CHECKING,50266.85,JPY,SUSPENDED,2026-07-23,2026-01-23
ACC00000036,CUST000505,INVESTMENT,18422.00,EUR,SUSPENDED,2026-04-04,2026-01-21
ACC00000037,CUST000200,LOAN,7447.18,CAD,ACTIVE,2024-10-26,2026-01-21
ACC00000038,CUST000664,CREDIT,70156.17,EUR,CLOSED,2024-10-30,2026-01-12
ACC00000039,CUST000275,CHECKING,8330.48,CNY,SUSPENDED,2024-07-20,2026-02-04
ACC00000040,CUST000688,CHECKING,7773.03,EUR,PENDING,2027-09-26,2026-01-29
ACC00000041,CUST000164,CREDIT,7293.91,CAD,CLOSED,2027-12-27,2026-02-05
ACC00000042,CUST000849,CHECKING,52258.96,CNY,PENDING,2025-02-04,2026-02-01
ACC00000043,CUST000875,SAVINGS,12712.46,CHF,SUSPENDED,2026-06-01,2026-02-11
ACC00000044,CUST000636,CHECKING,3436.63,AUD,ACTIVE,2027-12-23,2025-12-28
ACC00000045,CUST000288,CREDIT,59891.50,JPY,CLOSED,2026-12-09,2026-01-06
ACC00000046,CUST000307,LOAN,10590.46,CAD,ACTIVE,2026-06-24,2025-12-26
ACC00000047,CUST000796,INVESTMENT,14065.98,CHF,SUSPENDED,2025-01-15,2026-01-30
ACC00000048,CUST000534,CREDIT,63245.00,CAD,SUSPENDED,2024-06-19,2026-01-03
ACC00000049,CUST000085,CHECKING,40383.04,CAD,ACTIVE,2024-09-23,2026-02-18
ACC00000050,CUST000965,LOAN,81207.53,JPY,PENDING,2025-08-22,2026-01-13
ACC00000051,CUST000872,CHECKING,63198.91,JPY,SUSPENDED,2024-04-09,2026-01-19
ACC00000052,CUST000797,INVESTMENT,27725.78,CAD,SUSPENDED,2024-09-05,2026-01-19
ACC00000053,CUST000729,INVESTMENT,25466.46,CAD,PENDING,2026-09-20,2026-02-17
ACC00000054,CUST000034,INVESTMENT,13198.24,CNY,CLOSED,2024-05-14,2026-01-19
