balance_id,account_id,balance_date,opening_balance,closing_balance,currency
BAL0000000001,ACC00000001,2026-01-22,91391.10,90671.08,USD
BAL0000000002,ACC00000001,2026-01-21,90671.08,91353.51,USD
BAL0000000003,ACC00000001,2026-01-20,91353.51,90447.25,USD
BAL0000000004,ACC00000001,2026-01-19,90447.25,91069.94,USD
BAL0000000005,ACC00000001,2026-01-18,91069.94,90536.45,USD
BAL0000000006,ACC00000001,2026-01-17,90536.45,91016.38,USD
BAL0000000007,ACC00000001,2026-01-16,91016.38,90705.89,USD
BAL0000000008,ACC00000001,2026-01-15,90705.89,90744.78,USD
BAL0000000009,ACC00000001,2026-01-14,90744.78,91472.83,USD
BAL0000000010,ACC00000001,2026-01-13,91472.83,90668.07,USD
BAL0000000011,ACC00000001,2026-01-12,90668.07,89924.21,USD
BAL0000000012,ACC00000001,2026-01-11,89924.21,89946.92,USD
BAL0000000013,ACC00000001,2026-01-10,89946.92,90744.84,USD
BAL0000000014,ACC00000001,2026-01-09,90744.84,89920.32,USD
BAL0000000015,ACC00000001,2026-01-08,89920.32,89467.70,USD
BAL0000000016,ACC00000001,2026-01-07,89467.70,88516.07,USD
BAL0000000017,ACC00000001,2026-01-06,88516.07,87547.23,USD
BAL0000000018,ACC00000001,2026-01-05,87547.23,86579.10,USD
BAL0000000019,ACC00000001,2026-01-04,86579.10,86692.78,USD
BAL0000000020,ACC00000001,2026-01-03,86692.78,87399.12,USD
BAL0000000021,ACC00000001,2026-01-02,87399.12,87145.62,USD
BAL0000000022,ACC00000001,2026-01-01,87145.62,87973.71,USD
BAL0000000023,ACC00000001,2025-12-31,87973.71,87231.98,USD
BAL0000000024,ACC00000001,2025-12-30,87231.98,88076.81,USD
BAL0000000025,ACC00000001,2025-12-29,88076.81,87188.78,USD
BAL0000000026,ACC00000001,2025-12-28,87188.78,86914.06,USD
BAL0000000027,ACC00000001,2025-12-27,86914.06,86327.20,USD
BAL0000000028,ACC00000001,2025-12-26,86327.20,85644.33,USD
