rate_id,from_currency,to_currency,exchange_rate,rate_date,source
FX00000001,USD,EUR,1.106418,2026-01-22,MANUAL
FX00000002,USD,GBP,1.218799,2026-01-22,MARKET
FX00000003,USD,JPY,0.009023,2026-01-22,MANUAL
FX00000004,USD,CAD,0.742958,2026-01-22,CENTRAL_BANK
FX00000005,USD,AUD,0.683933,2026-01-22,MARKET
FX00000006,USD,CHF,1.129823,2026-01-22,MANUAL
FX00000007,USD,CNY,0.142551,2026-01-22,MANUAL
FX00000008,USD,EUR,1.051238,2026-01-21,MANUAL
FX00000009,USD,GBP,1.261698,2026-01-21,CENTRAL_BANK
FX00000010,USD,JPY,0.009115,2026-01-21,CENTRAL_BANK
FX00000011,USD,CAD,0.736309,2026-01-21,MANUAL
FX00000012,USD,AUD,0.633783,2026-01-21,MANUAL
FX00000013,USD,CHF,1.106358,2026-01-21,MARKET
FX00000014,USD,CNY,0.137341,2026-01-21,MANUAL
FX00000015,USD,EUR,1.086865,2026-01-20,MARKET
FX00000016,USD,GBP,1.299531,2026-01-20,MARKET
FX00000017,USD,JPY,0.008867,2026-01-20,MANUAL
FX00000018,USD,CAD,0.766266,2026-01-20,CENTRAL_BANK
FX00000019,USD,AUD,0.692170,2026-01-20,MARKET
FX00000020,USD,CHF,1.081542,2026-01-20,CENTRAL_BANK
FX00000021,USD,CNY,0.135616,2026-01-20,MARKET
FX00000022,USD,EUR,1.055643,2026-01-19,MANUAL
FX00000023,USD,GBP,1.277626,2026-01-19,CENTRAL_BANK
FX00000024,USD,JPY,0.009538,2026-01-19,MANUAL
FX00000025,USD,CAD,0.728302,2026-01-19,CENTRAL_BANK
FX00000026,USD,AUD,0.640504,2026-01-19,CENTRAL_BANK
FX00000027,USD,CHF,1.134604,2026-01-19,CENTRAL_BANK
FX00000028,USD,CNY,0.145915,2026-01-19,CENTRAL_BANK
FX00000029,USD,EUR,-1.0,2026-01-18,CENTRAL_BANK
FX00000030,USD,GBP,1.298639,2026-01-18,MANUAL
FX00000031,USD,JPY,0.009205,2026-01-18,MANUAL
FX00000032,USD,CAD,0.704100,2026-01-18,MANUAL
FX00000033,USD,AUD,0.639913,2026-01-18,CENTRAL_BANK
FX00000034,USD,CHF,1.112248,2026-01-18,MARKET
FX00000035,USD,CNY,0.144906,2026-01-18,MARKET
FX00000036,USD,EUR,1.095643,2026-01-17,CENTRAL_BANK
FX00000037,USD,GBP,1.316938,2026-01-17,CENTRAL_BANK
FX00000038,USD,JPY,0.009413,2026-01-17,CENTRAL_BANK
FX00000039,USD,CAD,0.714878,2026-01-17,MANUAL
FX00000040,USD,AUD,0.664362,2026-01-17,MANUAL
FX00000041,USD,CHF,1.143559,2026-01-17,MANUAL
FX00000042,USD,CNY,0.137303,2026-01-17,MARKET
FX00000043,USD,EUR,1.150931,2026-01-16,MARKET
FX00000044,USD,GBP,1.252893,2026-01-16,MARKET
FX00000045,USD,JPY,0.008770,2026-01-16,MARKET
FX00000046,USD,CAD,0.776658,2026-01-16,CENTRAL_BANK
FX00000047,USD,AUD,0.641829,2026-01-16,MANUAL
FX00000048,USD,CHF,1.103832,2026-01-16,CENTRAL_BANK
FX00000049,USD,CNY,0.136882,2026-01-16,MANUAL
FX00000050,USD,EUR,1.133054,2026-01-15,CENTRAL_BANK
FX00000051,USD,GBP,1.238228,2026-01-15,CENTRAL_BANK
FX00000052,USD,JPY,0.008957,2026-01-15,MARKET
FX00000053,USD,CAD,0.713390,2026-01-15,MANUAL
FX00000054,USD,AUD,0.636847,2026-01-15,MANUAL
FX00000055,USD,CHF,1.090270,2026-01-15,CENTRAL_BANK
FX00000056,USD,CNY,0.140668,2026-01-15,CENTRAL_BANK
FX00000057,USD,EUR,1.101341,2026-01-14,CENTRAL_BANK
FX00000058,USD,GBP,1.332087,2026-01-14,CENTRAL_BANK
