transaction_id,account_id,transaction_type,amount,currency,transaction_date,description,status
TXN0000000001,ACC00001061,DEPOSIT,8073.60,JPY,2025-12-13,WITHDRAWAL - Mobile,COMPLETED
TXN0000000002,ACC00000521,PAYMENT,9318.80,EUR,2026-04-17,DEPOSIT - Mobile,PENDING
TXN0000000003,ACC00001126,DEPOSIT,8382.21,CNY,2026-01-03,FEE - Branch,PENDING
TXN0000000004,ACC00001029,TRANSFER,9097.82,AUD,2026-02-24,PAYMENT - Mobile,REVERSED
TXN0000000005,ACC00000049,WITHDRAWAL,-1582.90,USD,2025-12-12,WITHDRAWAL - Branch,PENDING
TXN0000000006,ACC00001416,DEPOSIT,-8460.53,CNY,2026-02-09,INTEREST - Branch,COMPLETED
TXN0000000007,ACC00001318,INTEREST,9336.85,USD,2026-02-24,FEE - Online,PENDING
TXN0000000008,ACC00000088,INTEREST,-2235.28,CAD,2025-11-01,FEE - Branch,FAILED
TXN0000000009,ACC00000908,TRANSFER,1127.67,CHF,2026-03-13,DEPOSIT - Mobile,REVERSED
TXN0000000010,ACC00001107,TRANSFER,5938.53,GBP,2026-03-05,FEE - Branch,FAILED
TXN0000000011,ACC00000347,TRANSFER,620.22,EUR,2026-04-12,PAYMENT - Mobile,PENDING
TXN0000000012,ACC00001465,FEE,-5351.46,JPY,2025-11-04,INTEREST - Online,FAILED
TXN0000000013,ACC00001089,INTEREST,-5349.18,AUD,2026-01-07,DEPOSIT - Branch,COMPLETED
TXN0000000014,ACC00001092,FEE,6539.84,JPY,2025-12-16,PAYMENT - Mobile,FAILED
TXN0000000015,ACC00001175,TRANSFER,-4500.49,GBP,2025-12-05,DEPOSIT - Branch,FAILED
TXN0000000016,ACC00001233,FEE,5054.14,GBP,2026-02-09,DEPOSIT - Online,FAILED
TXN0000000017,ACC00000206,DEPOSIT,-7635.62,CNY,2025-10-25,INTEREST - ATM,REVERSED
TXN0000000018,ACC00000911,DEPOSIT,2948.19,CHF,2026-02-16,PAYMENT - Branch,FAILED
TXN0000000019,ACC00000859,FEE,2056.98,USD,2026-02-23,FEE - Branch,PENDING
,ACC00001444,PAYMENT,9309.89,AUD,2026-04-09,FEE - ATM,REVERSED
TXN0000000021,ACC00000624,FEE,7447.14,CAD,2026-03-10,INTEREST - Branch,REVERSED
TXN0000000022,ACC00000792,DEPOSIT,7998.92,CHF,2026-01-26,FEE - Online,FAILED
TXN0000000023,ACC00000880,FEE,2551.67,AUD,2025-11-06,DEPOSIT - Online,REVERSED
TXN0000000024,ACC00000115,TRANSFER,7121.15,EUR,2026-01-10,PAYMENT - ATM,COMPLETED
TXN0000000025,ACC00000968,TRANSFER,6438.92,USD,2025-12-31,PAYMENT - ATM,REVERSED
TXN0000000026,ACC00000979,WITHDRAWAL,1508.92,AUD,2026-03-02,PAYMENT - Branch,PENDING
TXN0000000027,ACC00000661,TRANSFER,3585.08,USD,2025-12-25,FEE - Online,REVERSED
TXN0000000028,ACC00001340,INTEREST,1676.35,CAD,2026-01-11,WITHDRAWAL - Online,FAILED
TXN0000000029,ACC00001085,FEE,-8013.65,GBP,2025-12-25,INTEREST - Branch,COMPLETED
TXN0000000030,ACC00001068,TRANSFER,-291.02,USD,2026-03-13,FEE - Mobile,COMPLETED
TXN0000000031,ACC00000518,DEPOSIT,-8788.39,CAD,2026-01-05,DEPOSIT - Branch,REVERSED
TXN0000000032,ACC00000483,PAYMENT,2627.76,CAD,2026-02-07,INTEREST - Branch,REVERSED
TXN0000000033,ACC00000631,WITHDRAWAL,1621.89,JPY,2026-02-15,PAYMENT - Branch,COMPLETED
TXN0000000034,ACC00001346,WITHDRAWAL,2751.80,GBP,2025-12-05,INTEREST - Mobile,FAILED
TXN0000000035,ACC00000144,PAYMENT,9813.04,AUD,2025-10-31,PAYMENT - Mobile,PENDING
TXN0000000036,ACC00001276,FEE,7444.43,GBP,2026-03-03,DEPOSIT - Online,COMPLETED
TXN0000000037,ACC00000449,TRANSFER,-1607.80,GBP,2026-02-05,INTEREST - ATM,FAILED
TXN0000000038,ACC00000982,PAYMENT,4695.44,GBP,2025-11-16,FEE - Online,PENDING
TXN0000000039,ACC00000922,DEPOSIT,-3796.83,EUR,2025-12-28,PAYMENT - Mobile,FAILED
TXN0000000040,ACC00001152,FEE,2135.63,CHF,2025-12-30,TRANSFER - Branch,COMPLETED
TXN0000000041,ACC00000945,DEPOSIT,6633.50,GBP,2026-03-21,FEE - ATM,REVERSED
TXN0000000042,ACC00000927,FEE,1794.13,USD,2025-12-16,DEPOSIT - Mobile,COMPLETED
TXN0000000043,ACC00000796,TRANSFER,-4939.32,CAD,2025-12-11,INTEREST - Mobile,FAILED
TXN0000000044,ACC00000414,DEPOSIT,6075.73,USD,2025-11-12,FEE - ATM,REVERSED
TXN0000000045,ACC00001117,WITHDRAWAL,594.03,EUR,2026-01-27,WITHDRAWAL - Branch,COMPLETED
TXN0000000046,ACC00000575,INTEREST,6788.76,EUR,2025-12-31,PAYMENT - Branch,PENDING
TXN0000000047,ACC00001198,TRANSFER,4325.58,USD,2026-02-23,TRANSFER - Branch,PENDING
TXN0000000048,ACC00000147,FEE,-7444.83,USD,2026-04-16,TRANSFER - ATM,FAILED
TXN0000000049,ACC00001369,FEE,3245.10,JPY,2026-03-27,FEE - Online,FAILED
